MBR_ID,MS_ID,MBR_PW,MBR_NM,MBR_BD,MBR_GD,MBR_EML_ADDR,MBR_TELNO,MBR_ADDR
mbr0,0,1234,회원0,1960-06-29,0,mbr0@naver.com,010-1111-1111,서울
mbr1,1,1234,회원1,1998-04-26,1,mbr1@naver.com,010-1111-1112,인천
mbr2,2,1234,회원2,2000-01-01,0,mbr2@naver.com,010-1111-1113,경기
mbr3,3,1234,회원3,2004-06-31,1,mbr3@naver.com,010-1111-1114,광주
mbr4,4,1234,회원4,1978-12-01,0,mbr4@naver.com,010-1111-1115,서울
mbr5,0,1234,회원5,1988-03-27,1,mbr5@naver.com,010-1111-1116,서울
mbr6,1,1234,회원6,1995-10-05,0,mbr6@naver.com,010-1111-1117,인천
mbr7,2,1234,회원7,2007-09-04,1,mbr7@naver.com,010-1111-1118,인천
mbr8,3,1234,회원8,1992-05-30,0,mbr8@naver.com,010-1111-1119,경기
mbr9,4,1234,회원9,2002-05-05,1,mbr9@naver.com,010-1111-1120,경기
